DATE,HOLIDAY_NAME,IS_RESTRICTED_HOLIDAY,REMARKS
2020-01-01,New Year,N,Holiday For New Year
2020-01-15,Pongal,N,Pongal
2020-01-16,Maatu Pongal,N,Maatu Pongal
2020-01-17,Kaanum Pongal,Y,Kaanum Pongal
2020-03-23,Telugu New Year,Y,Telugu New Year
2020-05-01,MAY Day,N,MAY Day
